@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0, 8025.0]
@attribute A3 real [0.0, 26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0, 14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0, 67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0, 2000]
@attribute A15 integer [0, 100000]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15
@outputs Class
@data
a,245.0,5.0,u,g,q,h,15.0,t,f,0,f,g,280,824,positive
b,2208.0,83.0,u,g,c,h,2165.0,f,f,0,t,g,128,0,positive
b,3667.0,4415.0,y,p,k,v,25.0,t,t,10,t,g,320,0,positive
a,2325.0,5875.0,u,g,q,v,317.0,t,t,10,f,g,120,245,positive
a,1917.0,8585.0,u,g,cc,h,75.0,t,t,7,f,g,96,0,positive
b,25.0,1125.0,u,g,c,v,25.0,t,t,17,f,g,200,1208,positive
a,4117.0,65.0,u,g,q,v,5.0,t,t,3,t,g,145,0,positive
a,47.0,13.0,u,g,i,bb,5165.0,t,t,9,t,g,0,0,positive
b,2925.0,1479.0,u,g,aa,v,504.0,t,t,5,t,g,168,0,positive
b,2775.0,585.0,y,p,cc,v,25.0,t,t,2,f,g,260,500,positive
b,3958.0,13915.0,u,g,w,v,8625.0,t,t,6,t,g,70,0,positive
b,2392.0,665.0,u,g,c,v,165.0,f,f,0,f,g,100,0,positive
b,3742.0,204.0,u,g,w,v,4.0,t,f,0,t,g,400,5800,positive
b,2333.0,11625.0,y,p,w,v,835.0,t,f,0,t,g,160,300,positive
b,4325.0,3.0,u,g,q,h,6.0,t,t,11,f,g,80,0,positive
b,3167.0,16165.0,u,g,d,v,3.0,t,t,9,f,g,250,730,positive
a,2342.0,79.0,y,p,q,v,15.0,t,t,2,t,g,80,400,positive
b,4425.0,5.0,u,g,m,v,1075.0,t,f,0,f,s,400,0,negative
b,4483.0,7.0,y,p,c,v,1625.0,f,f,0,f,g,160,2,negative
b,2725.0,625.0,u,g,aa,v,455.0,t,f,0,t,g,200,0,negative
b,2567.0,221.0,y,p,aa,v,4.0,t,f,0,f,g,188,0,negative
a,49.0,15.0,u,g,j,j,0.0,t,f,0,t,g,100,27,negative
b,5233.0,1375.0,y,p,c,h,946.0,t,f,0,t,g,200,100,negative
a,285.0,1.0,u,g,q,v,1.0,t,t,2,t,g,167,500,negative
b,2783.0,4.0,y,p,i,h,575.0,t,t,2,t,g,75,0,negative
b,2875.0,1165.0,u,g,k,v,5.0,t,f,0,f,s,280,0,negative
a,3375.0,75.0,u,g,k,bb,1.0,t,t,3,t,g,212,0,negative
b,2567.0,125.0,u,g,cc,v,121.0,t,t,67,t,g,140,258,positive
b,3442.0,425.0,u,g,i,bb,325.0,t,t,2,f,g,274,610,positive
a,565.0,16.0,u,g,j,ff,0.0,t,t,15,f,g,0,247,positive
b,43.0,29.0,y,p,cc,h,175.0,t,t,8,f,g,100,375,positive
a,4033.0,754.0,y,p,q,h,8.0,t,t,14,f,g,0,2300,positive
a,5283.0,15.0,u,g,c,v,55.0,t,t,14,f,g,0,2200,positive
a,2167.0,115.0,y,p,j,j,0.0,t,t,11,t,g,0,0,positive
b,2767.0,2.0,u,g,x,h,1.0,t,t,4,f,g,140,7544,positive
b,1933.0,95.0,u,g,q,v,1.0,t,f,0,t,g,60,400,positive
b,25.0,125.0,u,g,aa,v,3.0,t,f,0,t,s,20,0,positive
a,1842.0,925.0,u,g,q,v,121.0,t,t,4,f,g,60,540,positive
b,4058.0,5.0,u,g,c,v,5.0,t,t,7,f,g,0,3065,positive
