@relation tae
@attribute Native integer [1, 2]
@attribute Instructor integer [1, 25]
@attribute Course integer [1, 26]
@attribute Semester integer [1, 2]
@attribute Size integer [3, 66]
@attribute Class {1, 2, 3}
@inputs Native, Instructor, Course, Semester, Size
@outputs Class
@data
2, 23, 3, 1, 20, 3
2, 7, 11, 2, 10, 2
2, 2, 9, 2, 31, 2
2, 7, 11, 2, 13, 2
2, 8, 3, 2, 24, 2
2, 16, 8, 2, 36, 1
2, 14, 15, 2, 38, 1
1, 23, 3, 2, 49, 3
1, 22, 3, 2, 58, 3
2, 15, 3, 1, 20, 3
2, 10, 22, 2, 9, 3
2, 6, 17, 2, 42, 2
2, 6, 17, 2, 43, 2
2, 22, 3, 2, 28, 1
2, 11, 1, 2, 51, 1
2, 18, 21, 2, 19, 3
1, 23, 3, 2, 38, 3
2, 9, 5, 2, 24, 3
1, 17, 17, 2, 31, 3
2, 1, 15, 2, 31, 3
1, 22, 3, 2, 15, 2
2, 20, 2, 2, 25, 2
2, 20, 2, 2, 14, 1
1, 23, 3, 2, 38, 1
2, 13, 1, 2, 29, 1
2, 8, 3, 2, 27, 1
2, 12, 7, 2, 34, 1
2, 2, 9, 2, 29, 1
2, 22, 1, 2, 11, 2
2, 20, 15, 2, 18, 2
